Month,total_count,delay_count,delay_ratio
1,183527,120786,0.6581374947555401
2,189534,128743,0.6792607131174354
3,200842,131000,0.6522540106153095
4,155264,97624,0.6287613355317395
5,153072,94772,0.6191334796696979
6,200914,136515,0.6794698229093045
7,182945,119404,0.6526770340812813
8,162648,100602,0.6185258964143426
9,95539,55805,0.5841070138896157
10,103525,57079,0.5513547452306207
11,105563,63785,0.6042363328060021
12,203385,141373,0.6951004253017676
